EVRG.OQ,TER.OQ,RTX.N,CI.N,KR.N,TRMB.OQ,PAYX.OQ,UNH.N,SYK.N,AVY.N,TROW.OQ,ADM.N,OXY.N,FITB.OQ,SCHW.N
-0.0588235293964441,-0.0189393939367808,-0.185576923051305,-0.109387121802804,-0.079470198681836,-0.121387283261551,0.103922990967747,-0.0023529411883218,-0.0951526032413494,-0.0703259005050725,0.0524534687143168,-0.0358974358908881,-0.0809248555029762,-0.0954003407223192,-0.0602605863231216
-0.0351562499845475,0.343629343650414,-0.0340884355346198,0.0287456445849372,-0.14388489208493,0.263157894740675,0.136170212748026,-0.0353773584634393,-0.0714285714239311,-0.1002084351473389,-0.152733118968096,-0.139972836281514,-0.19182389936131,-0.215630885126436,0.159858965742034
0.057007674186216,-0.0545977011466269,0.240490797537212,0.0312198334295202,0.180672268904739,0.0729166666779424,0.0461922596632627,0.166870308878655,0.1923076923108639,0.0061791966739668,0.203687368347055,0.031055900629152,0.3103496475593,0.214726116895024,0.35874439467821
-0.0039525691635702,0.337386018238694,-0.0158259149228536,0.052805280528984,0.0569395017881256,0.0728155339689586,0.0064754737319925,0.118448637314627,0.0304659498171582,0.0747185261096426,-0.0348101265815852,-0.042168674716324,0.0331325301068452,0.0019841269985443,-0.216721672158541
-0.0079365079476713,-0.218181818183855,-0.0251589714288135,0.113636363637996,0.0707070707274684,0.599547511335268,-0.0023753467714048,0.1180880974474919,0.0521739130378871,-0.0666666666576735,0.001639344257051,0.207153609162988,0.104956268198469,0.0772277227950173,-0.0305842990447867
0.0109705179202135,-0.145348837211834,-0.0258531540854132,0.0565310155894019,0.11006289308328,0.104667609605861,0.199999999999,0.150041911163639,0.157024793389239,0.100555357878363,0.116322650374194,-0.178010471209985,-0.10107347532256,-0.0659365305425111,0.169565217396242
0.0201612903093452,-0.1377551020398719,-0.008492568977423,0.0681818181721761,-0.0623229461885594,-0.113956466079128,0.0907968620924622,-0.0459183673437551,-0.0185714285741361,-0.191806331478147,-0.0382352941108933,-0.0445859872794806,-0.0385756676326732,-0.0202569659974257,0.0743494423722044
0.264822134355588,0.0226824457513342,0.0729291073436145,-0.0262828535619021,0.0966767371497421,-0.0390173410445229,-0.0245901639417768,0.1550802139018,0.0436681222713426,-0.0034562211963898,0.107033639149968,-0.0078053154915113,0.067901234547898,0.118003025716285,0.0573969304091388
0.0973680124269303,-0.459980713606526,0.109109109107561,0.0772221058443618,-0.0055096418868912,-0.461654135334263,0.176470588256999,0.0449735450069613,-0.0418410041688951,-0.137816258768301,0.0401429736330898,-0.0212765957608331,0.0197244502046738,0.170402634857086,-0.0703764320731094
-0.0115606936303981,-0.107142857139833,0.0081227436824391,0.168103448258217,8.23164e-12,0.0614525139606949,0.0814302064269363,0.107594936726891,0.0975254730727814,0.0889487870528565,-0.0026631158731432,0.2753623188276139,-0.0888252148962656,-0.0464037122827209,-0.010563380254925
