ETR.N,HSIC.OQ,BRKb.N,MAR.OQ,PEG.N,COST.OQ,BIO.N,AXP.N,AEP.OQ,MCHP.OQ,SBUX.OQ,HD.N,ARE.N,EMR.N,RCL.N
-0.0315533980555076,-0.0093896713716573,-0.100546448098076,-0.0158415841655645,-0.0125673249420203,0.072602739710143,-0.0133689839774367,-0.0071318160994885,0.0428015564149338,-0.0812785387944644,0.31958762885465,-0.174111212401523,-0.0726915520532461,-0.0403050108823909,0.0025348542542113
-0.177435480593506,0.421800947880213,-0.125151883343872,-0.112676056334927,-0.156363636358871,0.0140485313095371,0.425474254718297,-0.1858172165330099,-0.14532637001723,0.489562549814937,0.0976562499968017,0.0209713024198521,0.0360169491629199,-0.166486359543711,-0.282130785336943
-0.0030864197526907,-0.136666666668772,0.263888888896145,0.144868572735455,0.0421737028718196,0.0591939546642664,-0.171102661581075,0.1099208197497,0.0599999999981359,0.0530530530539472,0.275800711757115,0.116536993470531,-0.0043353783169426,0.160493827162156,-0.208480565381147
0.260061919505124,-0.136100386092366,0.0528159340769578,0.0158730158859393,0.210970464120734,0.0285374554072764,-0.0642201834926431,0.0092445020791569,0.228511530370381,-0.0560836502066426,-0.325313807530311,-0.130813953491687,0.0666666666556366,0.0378250590965325,-0.256696428569584
0.152834737889602,0.260335195519852,-0.0157218344299496,0.1328124999834249,0.0383275261202369,-0.409248554909193,-0.0906862744967593,0.0758018568608838,-0.0124533975145255,-0.0853474320347175,0.1245478035942529,-0.12931995539743,0.0566406249939033,0.0821674039244929,0.183183183178009
-0.0624999999849586,-0.0212765957321279,-0.066808059392776,-0.0034547291764216,-0.0563800777123474,0.0332681017865948,0.0781671159224349,-0.0313588850091552,-0.166959578208066,0.0264244426124194,0.123161764705776,0.0238846517737645,0.0275046210768322,0.0233050847493539,-0.245214385995797
-0.002298850575743,-0.18478260870164,0.0369318181832499,0.109185441935105,-0.0288808664462111,-0.0132575757797042,-0.0549999999963975,0.0891990858339985,0.107594936715951,0.1917404129761,-0.0180032733043074,0.0362953692179089,0.0437158469694432,0.011387163551944,0.0743243243230029
0.13304512016522,0.306666666663105,0.0482191780725167,-0.0124999999937521,0.0780669144822179,0.057581573881089,0.0423280423206993,0.0429988974436624,0.0925068147603199,-0.0198019802300744,-0.0233333333196076,-0.0705045896920232,-0.0226876090646719,0.0896765362259218,0.150943396226229
0.223819301849297,0.0850340136324945,0.0820700470533064,-0.0760775110705966,0.250480807855024,0.0145190562613048,-0.0858883248447377,0.0274841437805191,0.109929077998287,-0.271350226584006,0.0938566552844049,0.104031209387116,-0.0196428571459576,0.0122757318294879,0.131658261847892
0.0285234899512121,0.222570532942952,0.0159420289987433,0.111492281288783,-0.0713286713262996,0.0483005366793796,0.328298534000673,-0.0110490669058934,0.0607028754042405,-0.0434782608799501,0.115444617803656,-0.189634864549668,-0.0002875620154996,0.0960820895396102,-0.125874125875933
0.0826101141772411,0.0846153846055968,0.0337612934071463,0.0231481481725306,0.0301204819128389,-0.109215017053048,0.103678929772573,-0.0843749999945839,0.12480444854444,-0.260869565215141,0.01958041959449,-0.0877413754918867,0.0774907749108029,-0.0025259113946524,-0.119111111128708
0.0288753799380436,0.309692671392024,0.0827966881327846,0.021106804285658,0.151114043228043,0.224137930998473,-0.0363636363678677,-1.323408e-11,0.0108695652121722,-0.0614973262209304,-0.028806584373176,0.165869218510639,0.0188356164455421,0.0814751286411084,0.342136370192393
-0.162895125578565,-0.16064981952364,-0.0441801189370575,0.0925443787076235,-0.158663239064966,0.158059467903996,0.311320754725908,-0.141435979864512,-0.069892473113946,0.370370370390678,0.1285310734507559,0.0549931600502693,-0.0232683415791288,-0.0356859635167354,-0.0102079395075159
