CL.N,STE.N,AVB.N,FI.N,CAT.N,PLD.N,NTAP.OQ,PARA.OQ,WAB.N,LIN.OQ,ED.N,BKNG.OQ,PGR.N,AJG.N,LRCX.OQ
-0.0860958567726764,0.0181818182166638,0.0054644808733606,-0.114192495921336,-0.0924050148863307,0.0250783698849308,0.208427389012187,-0.0837642192257376,-0.373239436628452,-0.1937888198678169,-0.0525362318868168,0.2242744063273569,-0.148717948727203,-0.169884169858177,0.119327731073053
-0.119198312258359,-0.0773809523878782,-0.021739130439931,-0.197053407005051,-0.1737849779055019,-0.0122324159153823,0.8804483188022181,0.0067720090196599,-0.145404167119554,-0.167950693380978,-0.142082141484193,-0.0355603448221037,-0.0441767068310533,-0.0488372093022467,0.250250250228103
0.0802395209501077,0.0580645161379294,0.1018918162044749,0.364678899072547,0.124777183583504,0.0650154798991188,-0.123178807951453,-0.0538116591864221,0.118421052622252,0.238935286910766,0.0521541949992716,0.430167597769922,0.2799946175549549,0.281161343641564,-0.134107199233196
0.0160260780411154,-0.121951219521507,0.0682593856427467,0.235294117636068,0.0086811352369424,0.0261627906753639,-0.106495468270661,0.0308056871947712,0.0647058823443758,0.0675675675408704,0.213362068959776,-0.209374999991747,-0.139687756763168,0.146153846158278,0.0180305131586462
-0.0787746170682507,0.0069444444322963,0.0159744409010623,0.0176870748284985,-0.0301109350262788,0.0198300283320714,-0.126796280632906,0.140229885070832,-0.0055248618599621,-0.0548523206670989,-0.058177465442759,-0.397233201569983,0.434574976100762,0.0385906040137367,-0.299727520436484
0.137767220911701,-0.0206896551985816,0.0643395289102588,-0.0748663101369322,-0.114379084980435,0.0138888888748345,0.246853823812643,0.0997983871091813,-0.0777777777857451,-0.105235260748432,-0.0919540229829904,-0.0036885246086263,-0.2111304558261069,0.0916659782764132,0.167315175098134
-0.0673186457133087,0.0140845070498115,0.1287425149502609,0.29046242774675,0.0145915300142554,0.0465753424761868,0.0706521738971961,-0.0274977085182361,-0.0301204819240367,0.0567612687741001,0.0232067510300205,-0.378033730972326,-0.0912162162177289,0.168154761940946,-0.21999999998612
-0.0852974186311186,0.138888888872885,-0.051724137943159,-0.0291153415487146,0.0788990825680368,0.0130890052502963,0.3575054387399929,0.0150801131157612,0.0320039979968558,0.118483412338704,0.0498896346203674,0.150793650800255,0.127323420062837,-0.0012738853427075,0.0299145299183985
-0.0733742331327058,0.170731707327001,0.0795989825026382,0.1049596309375539,-0.0816326530486521,0.0155038759590329,0.0886752136759947,-0.130919220068361,-0.0240963855599747,-0.152457940987155,0.0898203592709836,-0.563218390803781,0.0809955620630822,0.211490867664703,-0.304979253111105
0.248611279714634,0.249999999998861,-0.0366972477161247,-0.124217118981828,0.0507370137288299,-0.0432569974623417,-0.0657507360199852,-0.0277777777880237,-1.374512e-11,-0.003344481596519,0.0311355311351329,-0.515789473688669,0.200000000013641,0.0676532769711677,-0.0746268656605682
-0.0001701838117879,-2.05169e-12,0.0190476190594155,0.0655542312476799,0.1212121212006099,0.0132978723291591,-0.585084033614658,-0.101098901093493,-0.110210970483131,-0.0352348993255069,0.0752172968749434,-0.565217391302578,-0.0477099236774261,-0.0653465346710418,-0.22580645162827
0.0987234042453438,0.0749999999937154,0.0829361653090419,-0.151006711402175,0.2034976152646889,0.0839895013218722,0.299999999988733,-0.085574572101982,0.305555555555314,0.239794492281077,0.0335570469827158,-0.47499999999903,0.108290771287127,0.0820745794094161,-0.0333333333216667
-0.0667255233096641,0.1162790697788799,-0.0306234414013202,0.0922266139618473,-0.0577518632619364,-0.0450363196218126,-0.1645569620350979,0.18074866310747,0.178723404250316,-0.0010140845192715,-0.092467532463116,1.02380952382422,-0.0933655006052985,-0.1867976424291569,0.823275862044224
-0.0171438082817227,0.0388888889013494,-0.0226384029741358,-0.044632086853981,-0.059249208492001,0.0024340770767354,-0.4452214452164459,-0.0996376811701407,0.0115943689848828,0.0060906835021092,0.0712967823173083,0.0117647058695632,0.0537519957569248,-0.0131426362490907,-0.186761229304685
-0.0641828958444298,-0.245989304803507,-0.0219957332853656,-0.0962752525140705,0.0668269230827885,-0.0044516390232159,-0.434873949574051,-0.115291750503262,-0.0928571428507886,0.0048772135606864,0.0062381339816211,-0.058139534863232,-0.0189967545243521,0.0904001765575977,0.104651162809578
0.0137146173047251,0.2893617021005,-0.0089500108889412,0.237079986024022,0.139206169396126,0.0121951219403849,0.353171747208007,0.183989083452901,0.0519685039477606,0.0600223964148845,0.0083557951409842,0.916049382646091,0.203503348776673,-0.0895306859272469,0.246315789496917
0.0141450313344362,-0.048404840470032,0.0204845815076153,-0.0041561257329735,0.0788844621479716,-0.0080321285104825,-0.1824247698884019,0.107184018436661,-0.0224522109819766,0.0625396154803493,0.0618481958684042,0.113402061850518,0.12191780821726,0.090404440909474,-0.0668918918818368
0.0414901130032561,0.158959537580464,0.0229476414933871,0.16095082562129,-0.0758862629087619,0.0429149797630879,-0.263440860203475,-0.102185981954722,0.149425287341821,-0.0622973347652598,0.0166028097198665,0.675925925945379,0.0322030777154985,-0.0500383371545758,0.073497465611944
-0.0781460212777024,0.0728179551064144,0.023529411763815,-0.1031572366285289,0.108213350822462,-0.0295031055889733,-0.0890510948753233,-0.037681159433628,-0.0333333333344418,-0.0353191489328459,-0.0015075376951652,-0.0198895027489384,-0.0028108587948328,0.0576923077046179,-0.0559865092698982
-0.0009225092321475,0.0060437006115456,0.0551724137724168,-0.055942837253365,-0.0925589836948217,0.0252000000045201,0.0384615384739215,-0.1485943774934719,-0.0413416070925018,0.0381561535148434,0.0429993051813576,-0.3776775648282279,-0.0410948742822932,-0.0360000000040654,0.0114326545070569
0.075715604813059,-0.0914972273624993,-0.0413461315690548,-0.0529804079839071,-0.104000000005162,-0.0440889582570867,-0.475308641974673,-0.1863207547195489,-0.215262778974012,-0.104589461163495,-0.0044009779888637,-0.313405797109588,0.0358165080922703,0.281902201786379,-0.4012716354706589
-0.0094933068687851,0.139369277702933,-0.0492146596740648,0.0874269006042776,0.0057455424525285,-0.0077551020356327,0.955882352922889,0.0582608695462069,0.119266055021988,0.123333333330898,-0.0302062868571794,0.269129287611478,0.0359223301063185,0.0794682422630604,0.118584070785838
0.0146036161107457,-0.132589285724434,0.0649779735627463,0.0508201129433434,0.0603756708403757,0.0489510489545131,0.1601503759775059,0.195562859473956,-0.0156128025112464,0.12166172106172,-0.0088700666668373,-0.126819126841345,0.0563766130844789,-0.0010946907485692,0.156118143463925
-0.0104523646368675,-0.0597014925453275,-0.0082421607782898,0.0829068577234104,0.101855757049572,0.0196078431363258,0.417368762134358,0.0114547537269505,0.0249999999806605,0.0472979228649946,0.0450543759901916,0.385714285727473,0.0193827217976323,-0.0515567408368055,0.0593065693665165
-0.0072256695454661,0.0071154898844858,-0.049883745513448,0.0028355387414777,-0.0308730141128147,-0.0150000000121779,-0.179240969366557,-0.0942242355578177,0.117886178868873,0.0506787330299228,0.0156095143522057,0.0824742267836931,-0.0097119892721857,-0.0432009278289568,0.0017226528675817
-0.0204724409564796,0.115217391294519,0.0264738598337434,0.0070688029993433,0.104017501992769,0.0171807887534974,-0.109192200573363,0.164041010268705,0.0255006518039734,-0.0025839793070777,0.0087959757468079,-0.365079365076795,0.0537707135752157,0.0563636363595634,-0.0696474634497728
0.0209003215519403,0.016569200775667,0.0944041695494988,0.0760411792272639,0.0241397946232067,0.0556621881059947,0.274546591620662,0.0390977443471401,0.0638750886927439,0.0361985587598233,0.0272058823783183,0.307500000001674,0.0699178898898571,-0.055591265350204,0.354898336397079
-0.0694228568633659,0.061840843707887,-0.042771084337354,-0.0332681017499545,-0.0331031111968864,0.0196363636185823,-0.143768400374707,-0.0262559437667148,0.0200133422267228,-0.0451505016629441,0.0400858983539458,-0.0346080305871771,0.0352909164549453,0.10161733292953,-0.124829467954862
0.0224485945885688,-0.045146726877816,-0.0065030417495677,-0.0431848852987482,-0.0430245331355792,0.0395863052717587,-0.254441260745002,0.0394904458468501,-0.103357206436152,-0.0192644483520082,0.0167520785345077,-0.201822142982565,0.0297391304387615,-0.0235457063650784,-0.113795791118152
-0.0765682656868825,-0.0964539007032578,0.000876312227376,-0.137047484714486,-0.0635163573763468,0.0634648370634148,-0.0438124519728026,-0.0937499999930651,0.0401459853852213,0.020860909830565,-0.0461503312603754,-0.307692307693757,-0.0225692101727319,-0.0126960549080981,-0.209322779258913
0.0296682713066503,0.0931449502824626,-0.0374732334061001,-0.0626532279986017,-0.079334726517489,-0.0467741935375371,-0.319935691305589,-0.122605363969771,-0.122105263151888,-0.0819729682327485,0.0263473053915129,-0.33691756272603,-0.115816767483426,-0.151226551237354,-0.315906562846621
0.0623174294316058,0.0923887027285861,0.0066740823081341,0.0697471665417335,-0.0237136465408258,0.0067681894878666,0.127659574459477,0.0454662214512711,0.0312026462254977,0.0713193116710154,-0.0381946508476656,0.270270270278786,0.0508308895514296,-0.0153009180556148,-0.0544715447185823
-0.0109990834181416,0.0915863277738471,-0.0607734806588833,-0.237163814174607,-0.147112740606168,-0.0285714285855735,-0.231656184493676,-0.0036855036715325,0.0923196276349814,-0.0846788265659636,-0.0115507495639857,-0.378723404247499,-0.0576168653922061,-0.143712786859018,-0.234737747221641
0.0223326794467411,0.0650341228635472,-0.0980861244093335,0.112535612521849,0.10704592306865,-0.0726643598612488,0.223874488426482,0.100123304569603,0.0113636363595517,0.0663275288656151,0.0584286424813617,0.508219178086826,0.0863124629603099,0.0880324543855413,0.41460674155959
-0.0652964714547989,-0.143234074646245,0.0503978779927829,0.0857874519760977,0.221542227633646,0.0317164179153506,0.546092966237694,0.0537995965146234,0.0056284365257055,0.0825688073227897,-0.0534731419092415,-0.205267938234799,0.0298181818267378,0.0503355704691715,0.289912629053381
0.0202374002744046,0.066871975358088,0.0063078976382069,0.0008844339462572,-0.0837675350600883,-0.0104882459268195,-0.279019466475313,-0.1329504360836829,-0.0188679245166263,-0.017579602650251,0.0772327044317762,-0.0857142857082133,-0.123356191980396,0.0483987811668647,-0.334975369453264
-0.0254686331188606,-0.0329896907370147,-0.0597853857898542,-0.0818556701119035,-0.0309337522979225,0.0105994152351045,0.0810000000095836,-0.0542198233473978,-0.14529914528649,-0.0559113726992975,-0.0677253619669627,-0.187499999990808,-0.0259923433289295,-0.140571817559377,0.0824074074101143
-0.0117855038384069,0.0767590618403216,-0.0024456521722836,0.0233871226374098,0.0686675761633153,0.0126582278576417,-0.0175763182157507,-0.036835278834403,-0.0824938949776854,-0.0309864319806133,-0.0089493596808621,0.0153846153878127,0.075920562680704,-0.0308910891180783,0.140290846854834
0.0820910355736051,0.0360396039667261,0.0242544159743634,-0.0131661442092891,0.0468085106501552,0.0089285714170599,0.053672316396852,-0.0164287638213268,0.0554545454590591,0.0706285157454229,-0.0135897435969921,0.242424242427392,0.140915311929809,0.0105423047301358,-0.145611402853224
0.0545362797002344,-0.132262996948523,0.0810298103061635,-0.0648030495530666,0.0763841775627112,-0.0336283186016174,0.186773905237245,0.188663745872737,0.0559862187531692,0.030700976033603,0.010397712501256,0.35365853659814,0.146518293703994,0.0179226069455476,0.275792431293445
