RIC,date,return
POOL.OQ,2000-01-31,-6.5210099999999995e-12
POOL.OQ,2000-02-29,-0.0433734939889975
POOL.OQ,2000-03-31,0.234256926948804
POOL.OQ,2000-04-28,0.202040816306682
POOL.OQ,2000-05-31,-0.079796264840389
POOL.OQ,2000-06-30,0.040590353866128706
POOL.OQ,2000-07-31,0.120345744670941
POOL.OQ,2000-08-31,0.113353115705963
POOL.OQ,2000-09-29,0.010660980821487
POOL.OQ,2000-10-31,-0.126582278468496
POOL.OQ,2000-11-30,0.0434782608667539
POOL.OQ,2000-12-29,0.113425925936959
POOL.OQ,2001-01-31,0.11642411639972
POOL.OQ,2001-02-28,-0.00931098696009958
POOL.OQ,2001-03-30,-0.0225563909769948
POOL.OQ,2001-04-30,-0.0307692307847393
POOL.OQ,2001-05-31,0.0780952381118485
POOL.OQ,2001-06-29,0.0141342756232985
POOL.OQ,2001-07-31,0.141114982584278
POOL.OQ,2001-08-31,-0.035114503819867096
POOL.OQ,2001-09-28,-0.155458016212868
POOL.OQ,2001-10-31,0.0885245901773961
POOL.OQ,2001-11-30,0.110585197918007
POOL.OQ,2001-12-31,0.0635412630775893
POOL.OQ,2002-01-31,0.0338797813955667
POOL.OQ,2002-02-28,0.0482734319874498
POOL.OQ,2002-03-28,0.0554621848856938
POOL.OQ,2002-04-30,0.009235668794566049
POOL.OQ,2002-05-31,-0.0766803408065399
POOL.OQ,2002-06-28,-0.0512645249555975
POOL.OQ,2002-07-31,-0.104827089352869
POOL.OQ,2002-08-30,0.111468812865044
POOL.OQ,2002-09-30,-0.00760318610929511
POOL.OQ,2002-10-31,0.0397665085353835
POOL.OQ,2002-11-29,0.105614035106322
POOL.OQ,2002-12-31,-0.0733100602838064
POOL.OQ,2003-01-31,-0.0503424657524254
POOL.OQ,2003-02-28,-0.0119004687955633
POOL.OQ,2003-03-31,0.08430656935431699
POOL.OQ,2003-04-30,0.11107371257005
POOL.OQ,2003-05-30,-0.0242350802733846
POOL.OQ,2003-06-30,0.0679913070288098
POOL.OQ,2003-07-31,0.126744186065544
POOL.OQ,2003-08-29,0.057791537664560605
POOL.OQ,2003-09-30,0.0178049798347448
POOL.OQ,2003-10-31,0.25808770670062897
POOL.OQ,2003-11-28,0.0234285714424474
POOL.OQ,2003-12-31,-0.08766052483624939
POOL.OQ,2004-01-30,-0.0192778457730788
POOL.OQ,2004-02-27,0.131045241796027
POOL.OQ,2004-03-31,0.0278620689683766
POOL.OQ,2004-04-30,0.07917337625589589
POOL.OQ,2004-05-28,0.00355617656174756
POOL.OQ,2004-06-30,0.11801242236607899
POOL.OQ,2004-07-30,-0.0837777777880932
POOL.OQ,2004-08-31,0.0257414708892283
POOL.OQ,2004-09-30,-0.0493012575297295
POOL.OQ,2004-10-29,0.0916230366649791
POOL.OQ,2004-11-30,0.0825421603618068
POOL.OQ,2004-12-31,0.0117348556777499
POOL.OQ,2005-01-31,-0.0683385580118163
POOL.OQ,2005-02-28,0.147735035547133
POOL.OQ,2005-03-31,-0.0640423032011669
POOL.OQ,2005-04-29,0.0225988700319903
POOL.OQ,2005-05-31,0.102181702131986
POOL.OQ,2005-06-30,-0.0203796761831788
POOL.OQ,2005-07-29,0.0384724992832934
POOL.OQ,2005-08-31,0.00698238399902373
POOL.OQ,2005-09-30,-0.045628415275416195
POOL.OQ,2005-10-31,0.0297738333656878
POOL.OQ,2005-11-30,0.0848195147164259
POOL.OQ,2005-12-30,-0.0439249935907067
POOL.OQ,2006-01-31,0.0714669532741139
POOL.OQ,2006-02-28,0.0922893594041592
POOL.OQ,2006-03-31,0.0791350356623879
POOL.OQ,2006-04-28,-0.00405030908748416
POOL.OQ,2006-05-31,-0.0732848811216211
POOL.OQ,2006-06-30,0.0101875434151333
POOL.OQ,2006-07-31,-0.107724043081808
POOL.OQ,2006-08-31,-0.0195518510698804
POOL.OQ,2006-09-29,0.0112949829381717
POOL.OQ,2006-10-31,0.0644155844017156
POOL.OQ,2006-11-30,0.00222887316963583
POOL.OQ,2006-12-29,-0.043934586291485195
POOL.OQ,2007-01-31,-0.0656114373222239
POOL.OQ,2007-02-28,-0.0409836065507566
POOL.OQ,2007-03-30,0.023010737424727302
POOL.OQ,2007-04-30,0.12094972067285599
POOL.OQ,2007-05-31,0.0235533877921554
POOL.OQ,2007-06-29,-0.0468864468914338
POOL.OQ,2007-07-31,-0.13886753778754898
POOL.OQ,2007-08-31,-0.025165304561440803
POOL.OQ,2007-09-28,-0.234915773351435
POOL.OQ,2007-10-31,-0.056044835862317205
POOL.OQ,2007-11-30,-0.0905897598692097
POOL.OQ,2007-12-31,-0.0698874296473969
POOL.OQ,2008-01-31,0.242561775104572
POOL.OQ,2008-02-29,-0.22686688311519201
POOL.OQ,2008-03-31,-0.0024759971161757398
POOL.OQ,2008-04-30,0.15563790365213
POOL.OQ,2008-05-30,-0.050414492577825196
POOL.OQ,2008-06-30,-0.138282387191933
POOL.OQ,2008-07-31,0.24324324324848
POOL.OQ,2008-08-29,0.104773979876749
POOL.OQ,2008-09-30,-0.0383347073229903
POOL.OQ,2008-10-31,-0.253750535793674
POOL.OQ,2008-11-28,-0.0007089497106701501
POOL.OQ,2008-12-31,0.0429483459108146
POOL.OQ,2009-01-30,-0.117974401766432
POOL.OQ,2009-02-27,-0.162776025206895
POOL.OQ,2009-03-31,0.020911990724978
POOL.OQ,2009-04-30,0.33283582090552
POOL.OQ,2009-05-29,-0.0165779149071303
POOL.OQ,2009-06-30,-0.0499139414754983
POOL.OQ,2009-07-31,0.426328502412191
POOL.OQ,2009-08-31,0.0139689012276134
POOL.OQ,2009-09-30,-0.0671704449969318
POOL.OQ,2009-10-30,-0.118811881182869
POOL.OQ,2009-11-30,-0.0717839126638539
POOL.OQ,2009-12-31,0.0564784053231651
POOL.OQ,2010-01-29,-0.0377358490558884
POOL.OQ,2010-02-26,0.0882352941081679
POOL.OQ,2010-03-31,0.139991015229428
POOL.OQ,2010-04-30,0.0834805653720478
POOL.OQ,2010-05-28,-0.0169566529782487
POOL.OQ,2010-06-30,-0.0862859524771841
POOL.OQ,2010-07-30,0.0095802919618686
POOL.OQ,2010-08-31,-0.16105171405576701
POOL.OQ,2010-09-30,0.087804878045562
POOL.OQ,2010-10-29,0.00348779271355459
POOL.OQ,2010-11-30,0.058589870902368404
POOL.OQ,2010-12-31,0.0637092968515218
POOL.OQ,2011-01-31,0.08163265305889221
POOL.OQ,2011-02-28,0.0237899917884419
POOL.OQ,2011-03-31,-0.0289540437666563
POOL.OQ,2011-04-29,0.255080879302803
POOL.OQ,2011-05-31,0.00385511920744408
POOL.OQ,2011-06-30,-0.0142195767236994
POOL.OQ,2011-07-29,-0.10265011741485999
POOL.OQ,2011-08-31,-0.025090105122960404
POOL.OQ,2011-09-30,0.00964134206515066
POOL.OQ,2011-10-31,0.116119174936495
POOL.OQ,2011-11-30,0.0490321070709148
POOL.OQ,2011-12-30,-0.013114754093230601
POOL.OQ,2012-01-31,0.130564784024721
POOL.OQ,2012-02-29,0.0696444313797502
POOL.OQ,2012-03-30,0.0320421756868507
POOL.OQ,2012-04-30,-0.013629075348826201
POOL.OQ,2012-05-31,0.00596749098412386
POOL.OQ,2012-06-29,0.0944008655555047
POOL.OQ,2012-07-31,-0.08897676717853731
POOL.OQ,2012-08-31,0.0732505015532601
POOL.OQ,2012-09-28,0.055597867476231
POOL.OQ,2012-10-31,0.0129870130294998
POOL.OQ,2012-11-30,-0.0015775652111578201
POOL.OQ,2012-12-31,0.010264979684433599
POOL.OQ,2013-01-31,0.082703213612273
POOL.OQ,2013-02-28,-0.00218245305626796
POOL.OQ,2013-03-28,0.0534148716026146
POOL.OQ,2013-04-30,0.0212499999854305
POOL.OQ,2013-05-31,0.0534363050531748
POOL.OQ,2013-06-28,0.0186588921231761
POOL.OQ,2013-07-31,0.007059721411865501
POOL.OQ,2013-08-30,-0.00957273982259077
POOL.OQ,2013-09-30,0.0775580725691887
POOL.OQ,2013-10-31,-0.031177623380056398
POOL.OQ,2013-11-29,0.0341721097701519
POOL.OQ,2013-12-31,0.037473233403638305
POOL.OQ,2014-01-31,-0.0681114550987171
POOL.OQ,2014-02-28,0.0789959394689097
POOL.OQ,2014-03-31,0.0522791742294901
POOL.OQ,2014-04-30,-0.0375081539569584
POOL.OQ,2014-05-30,-0.0181579609176996
POOL.OQ,2014-06-30,-0.0202667590486789
POOL.OQ,2014-07-31,-0.0318246110041466
POOL.OQ,2014-08-29,0.0387429540794169
POOL.OQ,2014-09-30,-0.0483586304410657
POOL.OQ,2014-10-31,0.107195845699324
POOL.OQ,2014-11-28,-0.00119962103667604
POOL.OQ,2014-12-31,0.0678336980295742
POOL.OQ,2015-01-30,-0.0193883984818464
POOL.OQ,2015-02-27,0.11187911911891099
POOL.OQ,2015-03-31,0.0118255581431768
POOL.OQ,2015-04-30,-0.0698107798164828
