APD.N,BIO.N,BEN.N,KIM.N,CTAS.OQ,WMB.N,HSY.N,FE.N,TROW.OQ,EFX.N,AMAT.OQ,SYK.N,XRAY.OQ,CPRT.OQ,MTB.N
-0.117318435763847,-0.0133689839774367,0.1130604288451569,0.0405904059099522,-0.118235294114428,0.267893660525282,-0.1052631578730179,0.0027548209382843,0.0524534687143168,-0.087533156484782,0.0833744450108094,-0.0951526032413494,0.0476190475968522,-0.218390804610902,-0.0078455039125627
-0.130801687764348,0.425474254718297,-0.23817863398465,-0.0230496453750196,-0.142458304336808,0.0790322580851441,0.0396510441800644,-0.165105386416909,-0.152733118968096,-0.0102577884575511,0.332877959942318,-0.0714285714239311,0.0353535353430201,0.237132352965205,-0.0991354853306713
0.111283241044372,-0.171102661581075,0.232204685564338,0.0889292196110626,0.4718309123134589,0.0542394302888727,0.109530583213089,0.103678929770693,0.203687368347055,0.191740413004862,0.0304065596225216,0.1923076923108639,0.1098337013912449,-0.167904903397516,0.210027100240381
0.0923076923112072,-0.0642201834926431,-0.0355140186925869,0.0805725739601539,0.0111642743196815,-0.150782361318933,-0.0692307692402775,0.233333333322838,-0.0348101265815852,-0.0321782178302001,0.0802387268091704,0.0304659498171582,0.0242290748885328,-0.0142857142857404,-0.016237402003519
0.11468812877541,-0.0906862744967593,-0.0697674418476784,0.0172684458431724,0.110410094636495,0.113902847587305,0.148973820911366,0.002833074244984,0.001639344257051,0.137072205511876,-0.179864947834563,0.0521739130378871,0.0559139785332936,0.0289855072636382,-0.0126395880603938
-0.104935700235647,0.0781671159224349,0.0144676130493519,0.0123456789961027,-0.1661931818230619,0.0066659048690123,-0.0650602409724492,-0.0696517412881577,0.116322650374194,-0.0519187358988089,0.0853293413008551,0.157024793389239,0.0060537393247623,-0.0985915492888512,0.0404624277567545
0.0831643002005606,-0.0549999999963975,0.181069958851253,0.0221222866430029,0.149914821139855,0.0014992503548274,-0.046391752603932,0.0909090909110389,-0.0382352941108933,-0.0999999999834684,-0.162758620701431,-0.0185714285741361,0.0973630831663741,-0.1718750000058879,0.0498611111178746
0.0880149812714205,0.0423280423206993,0.0592334494847157,-0.0151515151664534,-0.014814814811744,0.106886227538358,-0.0712680870446369,-0.0159000955294717,0.107033639149968,0.0806935073634332,0.137561779252158,0.0436681222713426,-0.0129390018221655,0.278301886767649,0.0285885816389457
-0.003262165995434,-0.0858883248447377,0.1707894750729069,0.040000000002153,0.0481203007543676,-0.0827679782904727,0.267935578325732,0.0883838383793139,0.0401429736330898,0.0589680589765935,-0.312816799420165,-0.0418410041688951,0.0486275794850806,-0.180811808121007,0.0522243713767421
0.036458333326133,0.328298534000673,-0.0357866306471318,-0.0312675627762403,0.0645624103267761,-0.0103550295981221,0.0034642032076965,-0.0394431554643934,-0.0026631158731432,0.280742459401072,-0.104320337212493,0.0975254730727814,-0.007155635057388,0.0855855855796036,-0.0156862745189719
-0.0770519262829146,0.103678929772573,-0.154761904767586,0.0248447204964225,0.0983827493311871,-0.153961136027386,0.17007782466551,0.15711298578983,-0.220293724964577,-0.0336384697365208,-0.238823529401162,0.131299734753368,0.0432432432402707,0.128630705400455,0.0958395732799863
0.195972645085497,-0.0363636363678677,0.0539967578360927,0.0887659826626484,0.0441717791395866,0.133622847577973,0.0177865612462282,0.0699152542221158,0.162037266335414,-0.137218045117789,-0.0556414219475311,-0.0495560836178173,0.0831209028615423,0.264705882348146,0.241782322868286
-0.0787804878153764,0.311320754725908,0.227296587942974,-0.0053748232041617,-0.117696826499675,-0.0202190923535075,-0.0757281553328716,-0.117623762379891,-0.0772643253177909,0.0335511982612606,0.317512274952424,-0.1065427950221459,-0.116613418522223,-0.125000000019097,0.0044117647064412
0.0736033889365464,-0.15947242206205,-0.107356715158949,-0.0477815699816829,-0.2285809906216659,0.0656785075437787,0.0818590416502112,0.0251343269852968,-0.0849358974352233,0.0252549164067155,-0.16024844720788,0.242256637158892,0.0886075949327851,0.0066445182728145,0.0066521855784857
-0.0482673010460219,0.0271041369502043,-0.0614389966796681,0.0274790919942061,0.0945249457886634,0.0309470456338456,0.0816039943974019,-0.0088746893879174,-0.118303191046867,0.0310128670600809,0.0295857987978128,-0.069456812107135,-0.0280604915275029,0.0819801980188886,0.0204379561975262
0.119531250005438,0.138888888890518,0.116082843262242,0.0405909726756575,0.111364789448953,-0.0158693115487206,-0.12853433351568,0.085243553010232,0.110099800378564,0.058240000000408,0.255172413806854,0.13473684211084,0.0734246575208404,0.118106393353728,0.0236051502185788
0.0879274249837469,0.051219512202057,0.0194730813274797,-0.0288636363774541,0.0645971239515535,-0.0656865069940221,0.0085287352586289,0.0244273154364787,0.0555235903385318,0.0637091853678071,-0.0855311355333603,-0.0310339011662185,0.124042879014864,0.0475774770802978,0.0594013356188869
-0.0175062736462976,0.155452436192386,0.028539325851505,0.108120758262099,-0.0083619211187255,-0.160315200985447,0.0176451187207878,0.0492659054125322,0.0232898340407197,0.045610034196651,-0.0166232725535875,-0.0452567450177241,0.0085620163193787,0.218749999988533,-0.0006618133756041
-0.10754098359228,-0.0162650602485259,-0.0561197460896983,0.0036719507058857,0.0847567567505707,0.0166919575238707,-0.0218765191968743,-0.056592039795029,0.0152447178293062,0.103378512603392,-0.0659877800399555,0.0935278031036735,-0.001127395699074,-0.0297435897670645,0.0662251655678057
0.0384521185387094,0.137987344357433,-0.0489105238688998,0.0250000000193068,-0.071955351793024,-0.0228479522922793,0.0733581149121356,0.0975038605983654,-0.0150158060853162,0.101015997089128,-0.0604012211077688,-0.0858619539953428,0.0072234762839487,-0.132135306571118,-0.0944269431909789
-0.0852220201510021,-0.156950672642644,-0.1550085303452,0.0120908901443548,-0.134450171828476,-0.161290322590436,0.0138027295217566,0.0930373973815552,-0.212534199853825,-0.158663081066155,-0.339986075658832,-0.0351997081759056,0.0312129809162567,0.137231019091135,0.0185822436274862
0.0378434422036895,0.319148936198778,-0.0723851088712493,0.0220610809231452,0.0029776674987884,0.0575091574967106,-0.0250879608463085,-0.0414464534112727,-0.0525597269436276,0.0210045661976305,0.1993670886053969,0.0631379962125529,-0.0206791467175211,0.0478400571228294,-0.114864864861861
0.141858141825897,0.0177419354777701,0.113707165078434,0.01452239721217,0.0573973280694782,-0.0744717699958041,0.0318556635231872,-0.0090708286727803,0.14193083572815,0.114053846218042,0.165054236294262,-0.0236486486374671,0.035118915307168,0.167972742756415,0.080067971732167
0.0303968617166896,0.0031695721162361,-0.011465750016554,0.0043790978117452,0.123069723916891,-0.0368401346804166,0.0342193705882912,0.0355239786978008,0.100706129863118,-0.0297308156023748,0.0090588827299091,0.0648500513925825,0.0794434154829939,0.0609684947481497,0.0333333333275591
-0.0140694947922346,-0.0966824644453618,0.0618089027567228,-0.0663811563069571,0.0420833333308746,-0.30721003134481,0.0394387001602521,0.0634648370639574,0.082061618192047,0.0426501035385709,0.0885286783006269,0.0063388726997808,-0.0149402390436456,-0.06791218312172,0.0295126973238925
0.0486486486594002,0.1446309898716,0.0910547396585546,0.0163826998862928,-0.109960663070812,-0.126131221737558,0.0082703861063087,-0.0064706130835191,0.0593400745214221,0.192304297944337,-0.0041237113377979,0.046986721149648,0.0061688524753886,-0.2305309734463159,0.0233486539790024
0.0690538832614866,0.147440794480814,0.027666515987995,0.0541586073631215,0.125762023030459,0.538595498293168,-0.0298655343294363,-0.0551912568546689,-0.0182606056301607,-0.0033333333558156,0.248447204968149,-0.019024390240385,0.118729348101498,0.031627372047548,0.05058823528885
-0.0696999032112763,0.286284953414142,-0.0004770992507595,-0.0026179996546849,0.0383072603286789,-0.189303904904783,-0.007878611036582,-0.0370156159769313,-0.0991523246625076,-0.0862876253990141,-0.103740556481944,-0.113044919599192,0.0704263356639534,-0.14214046822956,0.0623366927965734
0.0437044744849719,-0.0836438923205735,0.0389021479716946,-0.0062305296051629,0.0084991307668485,-0.256544502605275,-0.0143148724794183,0.0480102962651209,0.029654975762808,0.0120539870251257,-0.0879934210463176,0.0196225004429731,0.0098311066431926,0.0675763482947267,0.0238921760478599
0.0106288963557959,0.0282422051462659,-0.0204456696556772,0.0498432601908367,-0.0532465044980038,-0.568918334575431,-0.0633897797096318,-0.0327441321019755,-0.0850869915390185,-0.0228013029302915,-0.142470694317265,-0.0192448680354911,-0.077454094007953,-0.0121728545476262,-0.0161752896507437
-0.123241529623504,-0.0949241924895343,-0.193457025352534,-0.0251927410859717,-0.11209791620769,-0.507512520865186,0.255360000010991,-0.0787896944501471,-0.17791970803103,-0.21481481480373,-0.218191377514549,-0.0540085965241653,0.0739636954882859,-0.180529882921148,-0.0251865671551474
0.0601129943589007,0.0184510803617688,0.0195164579263178,-0.0121344119476835,0.0027569550784076,0.0945490546760213,-0.0303059857982673,0.0862794947118111,0.0466148723751589,0.0990668447232799,-0.1015467384008469,0.113591465816514,0.0007568112893112,0.0578947368350755,0.0293569053563296
-0.0999998948648529,-0.102264600722982,-0.111428571436976,-0.0204724409320277,-0.0474892070030905,-0.298136645956387,-0.180858085817839,-0.0942424242544204,-0.112201585082907,-0.0661512027640662,-0.135479041914766,0.0218201170768169,0.0137862108818703,-0.228855721417653,-0.0814685314668916
0.0521304451403497,0.131439192778844,0.0632551183870456,-0.0091617259108489,0.127624045789888,-0.168141592931579,0.0486704270545486,0.0856473737182968,0.131009615400375,0.0837166513366551,0.301298701266936,0.0954861110894925,-0.0809061488815548,-0.0165898617300697,0.0394619972175118
0.0004524886779377,-0.0729875615993033,0.120036374686858,0.0346534653589327,0.0676962132436401,0.409574468084516,-0.0055138405574061,-0.0126011024799283,0.0765143464489446,0.0322580645252535,0.134397870925731,-0.0198098256601417,-0.0912784398768466,0.1330834114344879,-0.0115225415536328
-0.0284861062872146,-0.0202531645712404,-0.0756162099628965,-0.0056226758676724,-0.0935209035021354,0.0234991650700358,0.0473676036604067,0.0407196969820711,-0.0969210119076502,-0.0477366255288804,-0.235777126082209,0.0871921853505426,0.110124590716237,-0.0206782465008345,-0.0164848785262371
-0.0304093567159225,-0.0852713178296994,-0.0217136150207443,0.0248041775304884,-0.0972677595812486,0.199999999992551,-0.0435943060446516,-0.053685168333743,-0.0197947214253011,-0.074762316356642,-0.0813507290980187,-0.10250297973034,-0.0973118279512075,-0.131756756766623,0.0056710774851065
-0.0648974668068387,0.0155367231525323,-0.020095980810934,0.0732484076484766,-0.181776137622339,0.1759259259246849,0.0067633746789486,-0.042827616590435,-0.0381451009792212,-0.103243276587486,0.0843776106960821,0.082337317402869,0.0387135199395874,-0.240272373543236,-0.0060335008271916
0.0742760804731766,-0.005563282331045,0.0095748331375813,0.0421364985121821,-0.0199582961053832,0.205366328942306,-0.030181086517941,0.0677966101486163,0.0608042944664575,0.0422314911259278,-0.0308166410007429,0.0529141104236738,-0.0013001048165098,-0.0166453264892997,-0.0055682105800475
0.0395848418936278,0.307692307683391,0.0598602248552415,0.0465374714931297,0.0911854103350279,0.517467248900204,0.0413341844863454,0.0707936507769049,0.1254102289686479,0.160080040032657,0.160572337040262,-0.0238892935100221,0.0764587525097926,0.0989583333389294,0.0749554594076276
0.0120733689243726,0.262032085578429,0.0713876146795567,0.0331491712552228,0.0311977715721562,0.138129496407285,0.0949381045616937,0.1035918741755689,0.2031454783625099,0.0927748399374064,0.0657534246494236,0.0049246381125236,-0.00160213617941,0.0639810426592173,0.0579155627435677
-0.0403081422139655,-0.0618644067877858,0.0474741386842713,0.0133689839370468,-0.0426796326219182,-0.0001254076061969,-0.0202531645583749,0.0445531105836137,0.0326626277623854,0.0268562401034924,0.0192802056744179,0.0301455301595246,0.0951409177254221,0.0523385300543913,-0.0542391914610315
0.117307692313416,0.0117434507637242,0.112106475537282,0.0954036724434413,0.161681715533964,-0.196202531647142,0.0452196382490875,-0.102990897274235,0.0752317880747047,-0.104230769222212,0.229508196719394,0.1030704915704349,0.0613691931700178,-0.0084656084910979,0.051650439310899
0.0180722891576954,-0.0866071428625971,-0.0059838895448487,0.018323967749696,-0.0301190186901725,0.439484820006582,-0.0346147013022725,-0.141483808997223,0.0470559251182683,-0.0141784289513981,0.107692307700122,-0.0094093047627837,0.0078322966918937,0.0715048025515557,-0.0454995271923783
-0.0421095029238345,-0.0029325513129122,0.0236165779240766,-0.017034548942893,-0.0773854245000743,0.0317634173002044,0.0397711015758668,0.0902255638746256,-0.0253293883255157,-0.029206625984363,-0.160185185187775,-0.0064643799608342,0.0249142856938454,0.0756972111467611,0.0363247862965403
0.0068736142039225,0.0245098039015259,0.0743737155580604,0.0304162401397015,0.157980456036753,0.0828025477645033,0.060814529428072,0.0780564263428012,-0.0026660203590131,0.0974405029304812,0.288313120150972,0.0770150046590012,-0.0133558587697109,0.154629629632146,0.0756013745814681
0.0557146003191404,-0.0191387559630022,0.0086461408888109,0.0561689870273122,0.0956399437275418,-0.0803921568577941,0.0129405037748456,0.0185120800910001,0.0216281895488626,-0.0323146004763624,0.0397946084894374,-0.0013561829856795,0.0190088255272347,-0.0376904570919835,0.0028709809084861
0.106818398112084,0.125268292658928,0.090217398102283,0.0297836625861356,0.072528883172831,0.048009170925823,-0.0091377091449634,0.0158730158573606,0.132391497867319,0.0368176047166309,-0.0761316872396115,0.0512509877602979,0.004303757658411,0.37500000001264,0.0471929263815193
-0.0552716259651795,-0.0627709381087275,0.109681137156074,0.030837988834757,-0.0993417115359979,0.0325865580381075,-0.0192232757313121,0.0659090909252922,0.0995570554761112,0.0616326530464141,-0.0307349666010411,0.0438771909117623,-0.0701793225633663,0.0212121212171901,-0.0847405900324735
-0.0334602284245209,-0.0360777058272769,-0.0219837285586701,0.0177758508630583,-0.0481552195766993,-0.0660749507069171,0.103048928788367,0.0400474760222089,0.0088240935876573,0.0084507324421692,-0.0238970588288233,-0.0001126887454809,0.043095238082427,0.165578635026665,0.0721113218112972
0.0437510774847142,0.0819577735002008,-0.0130235634163479,0.0858359957297676,0.0182627019505919,0.0116358757181481,-0.0006031363073879,0.0116489774947529,0.0272466712591424,-0.0148798168539293,0.0065913371064843,-0.0022540290637401,0.0130784290324892,0.106415478622087,-0.0645497137140655
-0.0061851556251951,0.0395600496954578,-0.0152658045776551,-0.152296796656813,0.0338008737665729,0.0762800417786273,0.0729028364646489,0.0005117707226278,-0.0473713542755291,-0.050735863668448,-0.147333956959115,0.117474302494899,0.0931648996270864,-0.127473538881673,-0.0539788536488411
0.0032122063800503,-0.0423208191071019,-0.0829837679998193,0.0751052877873126,0.0093416370172745,0.156310679618409,0.0026608100384075,0.0071351455921777,-0.0608424336872593,0.0012396694157423,0.0948985189384537,0.0279995956595533,0.0196037969361629,0.300105485236647,0.0702399750502718
0.055474491410314,0.0488239486897739,-0.0039777247485156,-0.0097932535391184,0.050462758913963,1.435682622231e-05,0.0429392539352251,-0.0407692307794023,0.0505571409601262,0.0097919216936714,-0.0170340681532995,0.0816125860353795,0.0555614467897629,0.0831643001979558,-0.0361046704419064
-0.0133460438650747,-0.1097519537851139,-0.0348957529789831,0.0703978365704214,-0.119781833430341,0.021008403352766,0.0468986384190409,0.0451750868376618,-0.0829365079289623,-0.0254545454584532,-0.135066258921615,-0.133090909094647,-0.0666026871197982,-0.166666666672367,0.0679266895674655
0.0121739130390832,-0.0393129770981582,0.104041450779137,0.0461538461397081,-0.0226406100880066,-0.0205656117038471,0.001296762769247,0.0388406652754096,0.0716140199115685,0.0128254743267115,-0.0636417206685984,-0.0499161073951502,0.0477071766438726,-0.0238202247085455,0.0230612463761318
0.0436886018905076,0.0150973381121411,0.0483386535252193,0.0194753577032418,0.0251158254117105,0.0176619007626442,-0.032518641258718,0.0208747514933245,0.0323609726345646,0.0803278688689064,0.0377595972589007,0.0613686534074356,0.0204824969308263,-0.128453038670745,0.007580543278562
-0.0220669363652796,0.0180039139113002,0.0871592539232091,0.0752420192726533,0.0261655566158062,0.0338842975085141,0.0852065938742645,0.0060856864833776,0.0948174322653176,-0.0079666160828142,-0.0236506974059989,-0.103785357756789,0.0013477088896043,-0.0184891706216149,0.0762800417798595
0.0765325310318277,0.0899653979010415,0.0826459914215361,0.04271310724911,0.0366249420301975,0.332533972834845,0.0261988914876068,0.0310873951416022,0.0607853684678894,0.0573756749529417,0.0335403726630339,0.0208865165954935,0.0115362430239652,0.1625403660382799,0.0272856102485957
0.0176175729477717,0.0118165784677127,0.0627694191306035,0.0301656332751672,-0.0192307692330679,-0.0195809522327253,0.072200772195729,-0.0644091877825143,0.0552165587444322,0.0173787110882781,0.0276442307374332,0.0989027821851026,0.0693944965029254,0.218518518495364,0.023052841296348
0.016215283770022,0.0247516123533289,-0.025699928205815,-0.0863942058953152,-0.0082079343441962,0.0319214241643047,0.0531148721734621,0.0063275120384889,-0.0377813504847148,0.0071174377048828,-0.0701754385898067,0.0184455958599108,-0.0023131672677031,-0.126899696048247,-0.0508160237293263
0.0629774231783413,-0.168055791780417,0.034335396405692,0.0024537561468735,0.0136240119171134,0.120166567519965,0.0809677971125491,0.0479653593140001,0.0257309941336852,0.0749009564610521,0.100628930834419,0.0105820105874942,-0.0196183342019276,0.0139251523030355,-0.0288024078445608
