UDR.N,FI.N,KEY.N,WAB.N,RL.N,AJG.N,ORCL.N,FDX.N,VZ.N,AOS.N,CPB.N,C.N,L.N,OXY.N,FDS.N
0.0001937802692377,-0.114192495921336,-0.0508474576209654,-0.373239436628452,-0.128205128201106,-0.169884169858177,-0.108477412166709,-0.0335877862509257,0.0126565452417726,-0.0946830529893117,-0.1822577943298859,0.0337457817604712,-0.0730833945094582,-0.0809248555029762,-0.158555729982095
0.0389610389718464,-0.197053407005051,-0.180168067205082,-0.145404167119554,0.126050420171695,-0.0488372093022467,0.4863934938850069,-0.116903633510931,-0.209889001004914,-0.123809523808707,-0.0974155069683883,-0.0975462761771176,-0.205357142859687,-0.19182389936131,-0.099767489145995
0.0062500000099419,0.364678899072547,0.1217712176906269,0.118421052622252,0.115671641762877,0.281161343641564,0.0513468013492782,0.116279069760155,0.249042145608177,0.0434782608704398,0.0837004405165501,0.147521160817137,0.123595505628774,0.3103496475593,-0.101659751048836
0.0203726708072174,0.235294117636068,-0.0263157894825535,0.0647058823443758,-0.13043478260873,0.146153846158278,0.0240192153753216,-0.0336538461449956,-0.0249499713092375,0.149193955953827,-0.148395891157608,0.0047119436438789,0.107615993922662,0.0331325301068452,0.0623556582172431
0.0750000000347517,0.0176870748284985,0.15097751959871,-0.0055248618599621,-0.138461538476213,0.0385906040137367,-0.100860046914467,-0.0613598673002541,-0.1075949367222409,0.0212765957586845,0.192307692302539,0.0462670872597485,0.195011337848033,0.104956268198469,-0.103242651224434
0.0232558139339623,-0.0748663101369322,-0.1607142857181629,-0.0777777777857451,0.0178571428486534,0.0916659782764132,0.169565217369583,0.0742049469690207,-0.0390070922241873,-0.0029761904901761,-0.060483870984295,-0.0311557789040411,-0.0891840607032255,-0.10107347532256,0.0970873786400326
0.0699056135101472,0.29046242774675,-0.0035460992963105,-0.0301204819240367,0.135964912268873,0.168154761940946,-0.105576208185463,0.0427631579099805,-0.0685466878348585,-0.223544005669099,-0.0830080238900849,0.1711618257165029,0.0500041416676913,-0.0385756676326732,0.154867256615103
-0.059782608719395,-0.0291153415487146,0.1661857004265479,0.0320039979968558,0.1969111968974889,-0.0012738853427075,0.209476309213118,0.0182965299524684,-0.0718085106223191,-0.0232558139639867,-0.0424528301909189,0.105923653166742,0.28984063747067,0.067901234547898,0.0488399679130369
0.0057803468145378,0.1049596309375539,0.253869969045368,-0.0240963855599747,-0.167741935477924,0.211490867664703,-0.134020618568669,0.0988847583490142,0.110315186241516,-0.202380952380954,0.0197044335181638,-0.0738758030051024,0.0301158301247629,0.0197244502046738,0.0998171846327236
-0.0095886996197666,-0.124217118981828,-0.0246913580348411,-1.374512e-11,0.2170542635576429,0.0676532769711677,-0.161904761907584,0.0568335588596012,0.202406532299665,0.1352558252241339,0.140409207162895,-0.0265895953746892,0.0936524892530215,-0.0888252148962656,0.0071808510540736
