INCY.OQ,COP.N,MAR.OQ,WAB.N,ANSS.OQ,BAC.N,ROL.N,BKNG.OQ,KMX.N,SYY.N,APH.N,PPL.N,EG.N,AMD.OQ,BFb.N
0.8291666666668001,-0.130319148943768,-0.0158415841655645,-0.373239436628452,-0.0681818181911304,-0.0348692403348678,0.0333333333622743,0.2242744063273569,-0.324324324320884,-0.098210078783272,0.0197183098791893,0.0136612021708851,0.128851540617341,0.25269978400853,-0.0229257641771743
1.51082004553671,-0.0561653698704336,-0.112676056334927,-0.145404167119554,0.256097560966789,-0.0490322580749511,0.0476496707254376,-0.0355603448221037,0.0400000000143781,-0.0773286467334237,0.177716390413283,-0.132075471707328,-0.0248138957805291,0.0793103448487877,-0.148603351952836
-0.6826944885495659,0.2091503267905579,0.144868572735455,0.118421052622252,-0.165048543679179,0.150891632361438,-0.0810810810746444,0.430167597769922,1.0384615384669,0.0876190476173475,0.2791243158563889,0.055175305817555,0.331324261514672,0.4584664537108739,0.1512851824057129
-0.119370979268007,0.032801698255154,0.0158730158859393,0.0647058823443758,0.0058139534827312,-0.0655542312180505,-0.0336134453837598,-0.209374999991747,-0.207547169791027,0.0576200571481369,0.246943765280738,0.140298507457575,-0.10344827584751,0.537787513693432,0.0022962112613436
-0.314935064913034,0.2068511198808419,0.1328124999834249,-0.0055248618599621,0.0173410404689098,0.144132653061846,-0.170959328245937,-0.397233201569983,0.0238095237929707,0.114617940208926,-0.27843137256173,-0.010471204179336,0.162393162387114,-0.0719373219544383,0.0641466208538444
0.558056872044095,-0.1146288209670139,-0.0034547291764216,-0.0777777777857451,0.0340909090849282,-0.226096737913556,0.2526315789599669,-0.0036885246086263,0.255813953468698,0.0044709389266302,0.438858695654972,-0.0608448418207382,-0.0314453409677576,-0.0514198004486286,-0.0692109991057693
-0.0775665399394901,0.0093866693456437,0.109185441935105,-0.0301204819240367,-0.115384615373788,0.101744186043748,0.0168067226958222,-0.378033730972326,-0.0185185185241009,-0.0625993000842804,-0.2077431539269419,0.230769230789489,0.207224334596745,-0.0687702265230695,-0.069767441845703
0.0939818631383447,0.217712177134437,-0.0124999999937521,0.0320039979968558,0.0496894409913393,0.141718475517628,-0.0048254541763876,0.150793650800255,0.415094339601754,0.0746031746058584,0.220500595961806,0.2407407407208329,0.0156372979560468,0.0460469157002197,0.0599999999976491
-0.0082893745289961,0.0141414141295901,-0.0760775110705966,-0.0240963855599747,0.136094674576224,-0.0221703617201214,-0.0124999999834581,-0.563218390803781,-0.026666666662524,0.09453471196677,-0.110351562498374,0.255348012773666,0.2298136646132579,-0.372093023262318,0.0391698631310289
-0.109422492386754,-0.0104736970494124,0.111492281288783,-1.374512e-11,-0.0312500000078709,-0.0823389021222362,0.219409282703225,-0.515789473688669,-0.1917808219196,0.129852224855995,0.128430296394488,-0.0134730538996395,0.18434343431271,-0.0423280423470249,0.111872146109922
