OMC.N,TSN.N,LEN.N,GE.N,CMA.N,DHR.N,XEL.OQ,ACGL.OQ,IVZ.N,POOL.OQ,TRMB.OQ,BBY.N,IT.N,SHW.N,TXN.OQ
-0.0631250000092852,-0.157692307689978,-0.0192307692365642,-0.138126009683574,-0.0535475234148869,-0.106217616588206,-0.0128205128366405,0.158415841587904,-0.0409292035236409,-6.52101e-12,-0.121387283261551,-0.0485678704705653,0.0204918032868162,-0.160714285717015,0.113966505769002
0.0053368912480846,-0.243804125332064,0.0360844181724378,-0.008903467668605,-0.164073550202996,-0.0536231884114064,-0.0876623376699144,0.0427350427217323,0.0530565167500006,-0.0433734939889975,0.263157894740675,0.138743455469319,-0.0803212851397141,0.0927410153342099,0.543453070719665
-0.0057927587650433,0.0787878787786822,0.314393939412559,0.177497499984234,0.146984585303217,0.250017031560153,0.131672597850933,0.073770491809509,0.244249726150222,0.234256926948804,0.0729166666779424,0.5816091954007669,0.100436681247044,0.147058823482577,-0.039039039037583
-0.0254180601918176,-0.0617977528171628,-0.141210374656975,0.0132903745616908,0.0119402985250053,0.120098039212039,0.116715119033012,-0.0601145038134364,0.0140885874097381,0.202040816306682,0.0728155339689586,-0.0610465116148005,-0.142857142872486,0.13390313390615,0.0182393593571017
-0.0782429649813575,-0.0501312902139808,0.0141122217638854,0.0039746631877188,0.19469026548267,-0.1564551422357629,0.014326647552261,-0.0253807106621189,-0.0909090909137963,-0.079796264840389,0.599547511335268,-0.207430340565687,-0.0138888888846825,-0.0602793919131749,-0.112816577123294
0.0630852937389336,-0.113924050616291,0.0728476821233255,0.0071258907150471,-0.106444289139843,0.0262556089208885,-0.0875706214752739,-0.0041666666870519,0.205769230775879,0.0405903538661287,0.104667609605861,-0.0117187500045837,-0.0985915492782524,-0.0887096774102838,-0.0493079584554896
-0.0456140350667687,0.0714285714123695,0.185185185183744,-0.0268183886725498,0.136490250717744,0.0303413400644198,0.111779639413305,0.0376569037528074,0.112440191387723,0.120345744670941,-0.113956466079128,0.15019762846748,0.177083333355229,-0.0176991150532225,-0.145266610004345
-0.0183823529277554,-0.0157041095855498,0.151628932542923,0.140947752131172,0.104166666657283,0.103067484655935,0.142832975988739,-0.0201612903191933,0.227240143403709,0.113353115705963,-0.0390173410445229,-0.151202749140728,-0.0619469026347823,0.111453587580226,0.140575079880786
-0.123739912738146,0.0884353741565818,0.0746606334868524,-0.0147050051997444,0.0449548810475855,-0.114203291774216,0.0972568578590468,0.0370370370109641,0.0394188580768522,0.010660980821487,-0.461654135334263,0.0303643724767384,-0.122641509422188,-0.0706521739159941,-0.295051353877554
0.264781490989241,0.118749999993906,0.0821052631494781,-0.0498374864612322,0.0320855614874906,0.2688442210865009,-0.0628791843531026,-0.0158730158718892,0.0225479142951124,-0.126582278468496,0.0614525139606949,-0.211198428291805,-0.182795698930544,0.0210847241565162,0.0402295188303927
-0.147696476965811,0.255020602134126,-0.0132436272590866,-0.0957810718421741,-0.136787564774092,0.0326732673093748,0.0660146699107129,-0.0322580645373962,-0.297133406844973,0.0434782608667539,-0.0947368421162094,-0.486924034868639,-0.105263157865321,0.0057636887458436,-0.239490445846196
0.0562950193838501,-0.0892857142847527,0.143984220915365,-0.0295753855806538,0.148943298231901,0.0492059155475795,0.0802456983190005,4.785729999999999e-12,0.364705882341177,0.113425925936959,0.116279069770052,0.1480582524274,-0.1882352941097839,0.206303724932407,0.269681742051674
0.101659125182845,0.0666666666936944,0.0151724138032934,-0.0404172098904136,0.0155789473620709,-0.0569652650620662,-0.1236129032026149,0.0291666666760109,0.0597701149391825,0.11642411639972,-0.0677083333458504,0.684566596210159,0.173913043477195,0.0204275534507328,-0.0750147235279788
-0.006681270532985,-0.0698965992923395,-0.0349920587262906,0.0108695652243327,0.0555555555678861,-0.0161290322617381,0.107184923421155,0.0364372469587972,-0.1368763557543729,-0.0093109869600995,-0.2150837988919159,-0.177510040171431,0.0493827160389715,-0.0596420214278385,-0.325342465750898
-0.0843867052783637,0.0681998414064737,0.122816901400032,-0.0965898608478745,-0.0268992289330551,-0.139666962890167,0.0814099954688536,-0.0078124999930435,-0.266372128876874,-0.0225563909769948,0.0782918149482279,-0.122070312508975,-0.20705882353337,0.0151394422585627,0.0483925549989597
0.0599662162371755,0.0222717149246197,0.0980933266445975,0.159340659346214,-0.163739837379305,0.0265762463225956,0.0362005978272071,-0.0015748031498247,0.258620689650505,-0.0307692307847393,-0.1324092409263849,0.530867630727321,0.186943620181293,-0.176609105177753,0.24996245824237
0.0595332953797133,-0.0718467399067393,-0.154426415131016,0.0096847310686394,0.106358156710079,0.124442063921429,-0.0288461538469538,0.0567823343840728,0.0315068493074855,0.0780952381118485,0.186853317097008,-0.0345140781162663,0.137500000018809,0.024035102698845,-0.118346253226102
-0.0740889562110575,-0.277080062783328,0.127027027036619,-0.0051020408305714,0.0202108963130937,-0.110521264317349,-0.0610561056083052,-0.0597014925418398,-0.0802124833723313,0.0141342756232985,-0.0005128205148561,0.195108184374157,0.208791208778434,0.0402999062649939,-0.0767878077457147
0.0159302325693385,0.118349620016079,0.100479616299327,-0.104746789428451,0.0692708333251217,0.010535714292534,-0.0407714595611927,0.0704253968363737,-0.0776783136241539,0.141114982584278,-0.0251410979830331,0.0541561713150531,0.0090909091031548,0.0310810810955338,0.0959059233319245
-0.109648620814203,0.0282189423156227,-0.0289317882248055,-0.0579310344771772,-0.0298749797155173,-0.0180243859116066,0.0170749814137745,0.0498718800366252,-0.0889167188331473,-0.035114503819867,-0.131578947363909,-0.119175627235333,-0.103603603611044,-0.0041753531436998,-0.0405797101282052
-0.163123560374815,-0.0502369668139686,-0.191021324348596,-0.0881464975904281,-0.0728033472574586,-0.150609583049966,0.0410583941689866,-0.0536723163771629,-0.2401956853799169,-0.155458016212868,-0.0757575757319098,-0.229399796524578,-0.0904522613152959,-0.0189845474463971,-0.245317220545239
0.183050847462632,-0.0229540918318991,0.0061043285119504,-0.0212365591529553,-0.168050541508909,0.181432810539595,0.0046181172339117,0.402985074617442,0.0818181818218359,0.0885245901773961,0.154098360671853,0.207920792061854,0.0044198895030504,0.0963096309352231,0.121331854958497
0.118259963534555,0.233023975587191,0.0262611803634125,0.0574018126746725,0.114341505718946,0.0522066738320361,-0.0342998585448614,0.0063829786952904,0.184873949575624,0.110585197918007,-0.0409090908988582,0.300364298738282,0.0946094609340278,0.155535607844459,0.145051804219297
0.0430462002926746,-0.039900249373615,0.258602150530549,0.0456149571049866,0.1248451408342219,0.0286465545525292,0.0431761016831034,0.0887949260039207,0.0290780141957367,0.0635412630775893,-0.0396919431317738,0.0432833730285134,0.174874371835275,-0.017506252232908,-0.126365054602658
-0.0221600447605911,0.0926406926506396,0.184322938878812,-0.0731037924047357,-0.0176265270463247,0.056872823744884,-0.0374909877495879,-0.0089320388202462,-0.0406616126646535,0.0338797813955667,-0.0734114743883749,-0.0064446831364616,0.0017108639839353,0.0080000000184794,0.1154334499637809
0.0706192056926413,0.0325102274110329,-0.0041011088098109,0.0411531287727533,0.063243915462017,0.0547536868731671,-0.114232209741676,0.0540752351034064,-0.141522988511366,0.0482734319874498,-0.134487350200655,-0.0891891891848807,0.0085397096503141,-0.04136697726955,-0.0595962832387488
0.0113630710235129,-0.039260969983505,-0.0443760188368113,-0.0272727272544048,0.0535250984291531,0.0566704650360619,0.0718816067690164,-0.0405204460735027,0.1606694560773069,0.0554621848856938,0.279230769234208,0.175074183951724,0.0922946655226151,0.07797123393029,0.127768313453781
-0.0758474576333149,0.123397435900369,0.0526914329063255,-0.157543391157472,0.0044749880268992,0.0078851027749962,0.0179196894914086,0.130569546677499,-0.2100452886575489,0.009235668794566,-0.0024052916186457,-0.0612373737351939,-0.093023255818195,0.0790028089878194,-0.0649059405820243
-0.0099724896976463,0.0558113281207988,-0.014549541816509,-0.0129952456510811,0.0198886236655889,-0.0273819502536568,-0.154935116022146,0.0178204249605383,-0.071264367838747,-0.0766803408065399,0.0831826401226838,-0.0679210585107072,-0.0205128205030959,0.0330440364922204,-0.0730682185581268
-0.468403694850136,0.0508130081359286,0.118421052615587,-0.0614240764018163,-0.0347356352243614,-0.0466685688174788,-0.219637040482296,-0.0521885521950932,-0.185643564344926,-0.0512645249555975,-0.137451307730568,-0.214285714285999,-0.118673647482657,-0.0528481012651797,-0.173351935820564
0.163973799152727,-0.184397163128468,-0.17075163397928,0.108433734932769,-0.0527687296409645,-0.0648078372390582,-0.57471376870099,-0.0429840142378916,-0.0796352583736919,-0.104827089352869,-0.155483870975327,-0.093663911826402,-0.232673267328727,-0.0400935516168902,-0.0223234805702893
0.134871506271373,-0.0149889135122662,0.0406606922084789,-0.0636645962810697,0.0058459422284253,-0.0306204673819385,0.387931034506396,0.0397178915892613,-0.0640488771603277,0.111468812865044,0.0695187165549545,-0.355623100306717,0.214193548390522,-0.0554111844057495,-0.149028077754791
-0.076645002896333,-0.0636070853512257,0.0564393939280583,-0.176960589007307,-0.168635970956378,-0.0544420345693257,-0.0362318840687342,-0.0024991074545424,-0.308571428573674,-0.0076031861092951,-0.292857142842019,0.0523584905741776,-0.139213602558824,-0.122962962964243,-0.250253807096893
0.0350215517095303,-0.0481513327436688,-0.0109358192919342,0.0243407707788631,-0.094566569893031,0.0175901495422473,0.140171266086154,0.0025053686646652,0.291322314016937,0.0397665085353835,0.323131313142725,-0.076199013889521,-0.0123456789782754,0.161317561204789,0.0753144000028958
0.180808606619155,0.0695209860670758,-0.0387522772583911,0.0732673267328479,0.0840586349045627,0.0862575626548092,0.0326923076937964,0.0799714387904444,0.16559999999595,0.105614035106322,0.0687838766400113,0.343037360535983,0.2212500000182199,0.0541133455238276,0.267969735159883
-0.047774838393701,-0.0491525423735767,-0.0267823462771816,-0.0945782546224708,-0.0763497893549754,0.0459081394236089,0.0416666666651797,0.0304132231434345,-0.1352093342592369,-0.0733100602838064,-0.1078571428582639,-0.127528901744911,-0.0583418628508548,-0.0201179327194082,-0.253605171566818
-0.0665634675022215,-0.0811051693343224,0.0437984496052301,-0.04969199180465,-0.0633672525266338,-0.0652968036538242,0.0018181818148512,-0.0208533847009086,-0.0833333333416578,-0.0503424657524254,0.307445956746234,0.0803312629512675,-0.0565217391349718,-0.0569911504387741,0.0606705621458408
-0.121393034826205,-0.103761534506305,0.0026433656208861,0.0477756465924457,0.0118518518539767,0.0587852141474234,0.0063520871017341,0.0242463958099913,-0.189610389600541,-0.0119004687955633,0.0257195346111905,0.114220007667533,-0.156682027661256,0.0080771136822726,0.0534591195129771
0.0263878088554006,-0.157608695665644,-0.0081496573227002,0.0602910603007363,-0.0633775655475418,0.0117590014836924,0.155094679873613,0.0860204734501677,-0.0235042735195232,0.0843065693543169,0.130746268661814,-0.0722394220971728,-0.0505464480648897,-0.0101123595373818,-0.0226865671646549
0.142698910825337,0.242580645149505,0.116966308596216,0.154901960770718,0.148627243938299,0.0489659367423674,0.0554254488710002,0.0253615717843254,0.243643861061684,0.11107371257005,0.333157338999231,0.282165368952192,0.142446043160243,0.054861899368561,0.130783253423256
0.127786752833182,-0.0092381394566284,0.236464173291666,-0.0254668930279618,0.0634336934100217,-0.0298637286159505,0.138313609489769,0.0629129560520634,0.114311431139033,-0.0242350802733846,0.0665346534649043,0.11914401387004,-0.0629722921834055,-0.0123190937756135,0.108707409417792
0.0299707305473116,0.11789473684065,0.0663683818229783,0.005816604241273,0.0151199935318405,0.0172576650712464,-0.0108513285721907,-0.0613513513609123,0.12924071083205,0.0679913070288098,-0.14853323430688,0.134883720929994,0.0188172042847934,-0.0182615047212461,-0.141463414631023
0.030404463059555,0.0668549905853248,-0.0882517482404602,-0.0083682008220259,0.0425806451571565,0.0609845701449476,-0.0252394500532331,-0.014684710629383,0.101573676663602,0.126744186065544,0.192760575672844,-0.0061475409638439,0.159630606836485,0.1160714285836549,0.0733761518493117
0.0571196535051064,-0.0078329830499137,0.0318039746699088,0.0397327707546338,0.0177392739400171,0.0699445983561953,0.0117403314726493,-0.0064289888909058,0.0524931623583409,0.0577915376645606,-0.0219378427712011,0.191523482254653,0.1922639363072379,0.0078836283392482,0.263910969802438
-0.0775674267877854,0.261607142878802,0.156728624539635,0.0144212093630778,-0.0455068474899697,-0.0435588602038475,0.055972696225751,-0.029117647060234,-0.0529925186943728,0.0178049798347448,-0.13457943926171,-0.0863295519960102,0.0515267175518648,-0.0222739361658616,-0.0440251572549219
0.110647181638923,0.0099079971589912,0.180743026106999,-0.0268366319974486,0.104721030052795,0.1217167614792539,0.0601163542238383,0.105725537723592,0.036866359441369,0.2580877067006289,0.194384449242042,0.227062289544723,0.1569872958140589,0.140428425715232,0.269344765718835
-0.0017543859403356,-0.0406711533455151,0.0686752493798199,-0.01172009652587,0.0130147630311186,0.0042245021075395,0.0182926829452368,0.0126027397291641,-0.0958730158743151,0.0234285714424474,0.0969258589247903,0.0688416219907542,0.0133333333352201,-0.028561531464345,0.0290456431457886
0.0988154574965452,-0.0300366300209226,-0.0194075587328556,0.0875819003490175,0.084996314301385,0.103065526841966,0.0392723321086459,0.0784632034763477,0.0351123595485427,-0.0876605248362493,0.227827233768619,-0.157419354832332,-0.124613003095421,0.0712303422727754,-0.0127688171761526
-0.0564525363745534,0.161631419920474,-0.0812500000014698,0.0855390574436594,0.0187299322157333,-0.002179836537558,0.020023557145705,0.1003512293251669,0.0149253731478827,-0.0192778457730788,-0.0024167561711185,-0.0335524166876083,0.005305039773185,-0.0287852619608006,0.0677910115186202
-0.0072815534056961,0.0351072617570076,0.1245336647697489,-0.0270864784071552,0.0075293293634859,-0.0209721463464153,0.0086605081003339,-0.0330597355461797,0.0835561497496007,0.131045241796027,-0.107940780625437,0.0567572931306891,-0.0061565523322973,0.0423288109328281,-0.0223285486496815
-0.0161983867233438,0.136649874065043,0.0926188068835234,-0.0615006149942687,-0.0467784996163365,0.042021306498351,0.0301946193098817,-0.0089601509030363,-0.052282541665136,0.0278620689683766,0.0378691249862586,-0.028732394377841,0.0309734513457911,0.0979999999947145,-0.0466557911849877
