STT.N,BBY.N,PG.N,FMC.N,AMAT.OQ,A.N,CNP.N,WFC.N,TAP.N,OXY.N,LEN.N,IEX.N,AES.N,GIS.N,PH.N
0.0975192472112052,-0.0485678704705653,-0.0767389999635114,-0.0621592148407356,0.0833744450108094,-0.143896523870973,-0.0027322404577375,-0.0108191653811044,-0.0761904761720411,-0.0809248555029762,-0.0192307692365642,-0.111148365969877,0.0719063545071852,-0.120474404554679,-0.157125456746623
-0.0911925175413226,0.138743455469319,-0.127633209400447,-0.1011627907062329,0.332877959942318,0.566572237981213,-0.0834810741808422,-0.168774839759626,-0.0918015886401413,-0.19182389936131,0.0360844181724378,-0.079069767445628,0.0460218408696313,0.0561122244347689,-0.158400741239774
0.331610408324886,0.5816091954007669,-0.360795454550811,0.1694695989339799,0.0304065596225216,0.0030138637557584,0.139817629195798,0.238185255191203,0.0897435897306187,0.3103496475593,0.314393939412559,0.101010101009683,-0.0604026845335951,0.0986717267446923,0.139655172390356
1.217049e-11,-0.0610465116148005,0.0651345316973702,0.0298672566454277,0.0802387268091704,-0.147836538462649,0.136000000006887,0.0030534351121949,0.0666666666666831,0.0331325301068452,-0.141210374656975,0.152707905111742,0.142063492087984,0.0128465082279781,0.125567322241495
0.1509677419240579,-0.207430340565687,0.115303983219922,0.0440386680812139,-0.179864947834563,-0.1692524682708409,0.0852551697628094,0.1079555246389639,0.106421673158376,0.104956268198469,0.0141122217638854,0.0680000000240231,-0.029881862415341,0.0910652920882395,-0.100234603810378
-0.047242152462323,-0.0117187500045837,-0.1390977443639799,-0.0452674897247629,0.0853293413008551,0.0016977928639301,0.0372807017421464,-0.143646408840624,0.0755555555320493,-0.10107347532256,0.0728476821233255,-0.0543071161205052,0.0458452721925437,-0.0362204724456864,-0.1784107946040199
-0.0536240424180954,0.15019762846748,-0.0006631068130614,0.0387931034633848,-0.162758620701431,-0.447457627134633,0.133192389001746,0.066129032251288,0.0413223140321917,-0.0385756676326732,0.185185185183744,0.0499385903641454,0.171232876726587,-0.0948459994018326,0.0383211679087103
0.1731008717474109,-0.151202749140728,0.0868131868219286,0.125518672167612,0.137561779252158,0.480061349681514,0.119440794956322,0.0509359419630342,-0.0517107988494374,0.067901234547898,0.151628932542923,-0.0795454545595798,0.192982456135798,-0.0654545454571542,-0.0166739817767514
0.105470964194066,0.0303643724767384,0.0839231547243675,-0.0110599078352791,-0.312816799420165,-0.188601036266844,0.252525252491366,0.0636758321336712,0.0608604407110459,0.0197244502046738,0.0746606334868524,-0.080246913580479,0.0745098039374503,0.105058365746667,-0.0305206463060127
-0.0404615384528837,-0.211198428291805,0.0712279100079569,0.133271202242349,-0.104320337212493,-0.0536398467382272,-0.111559139778205,0.008163265301984,0.0079129574780247,-0.0888252148962656,0.0821052631494781,0.1603067225263029,-0.175182481743611,0.184797297309719,0.22592592590321
