STLD.OQ,ALB.N,MSI.N,PFE.N,SWK.N,ADP.OQ,EBAY.OQ,OKE.N,PHM.N,GPC.N,WAT.N,CPT.N,ALL.N,RCL.N,PH.N
-0.0235294117545658,-0.0586319218403921,-0.0713073005106482,0.1213872832593,-0.165975103724146,-0.119489559177453,0.1987019470984229,0.0521688844468684,-0.224999999977926,-0.0277078085382689,0.393867924544584,-0.054794520551082,-0.0338541666673591,0.0025348542542113,-0.157125456746623
-0.0120481927816768,-0.166089965407918,0.246800731277099,-0.114513529228673,-0.0845771144359446,-0.0816864295068764,-0.0445647646954744,-0.131578947335521,-0.0358422939095727,-0.0647668393834485,0.327411167519858,0.0362318840737776,-0.15183644408823,-0.282130785336943,-0.158400741239774
-0.247967479671218,0.38725297977829,-0.164351452898299,0.138132295730866,0.157560904521302,0.109844834799041,0.22755013081376,0.101928374657115,0.244535858658287,0.0714365761806772,-0.0286806883487534,0.0305978179721833,0.22115384616622,-0.208480565381147,0.139655172390356
-0.0162162162140893,0.0090361445809195,-0.163740122921958,0.1521367521388729,0.118483412325411,0.115284974080457,-0.0955255681890903,0.0221888005960256,0.0299401197606497,0.0994764397917003,-0.005249343840098,0.0484988452505166,-0.0078740157561436,-0.256696428569584,0.125567322241495
-0.181318681301609,0.0507462686696622,-0.212598425184113,0.0599704492886066,-0.0889830508170926,0.0209059233426103,-0.213977228114842,0.153465346538756,0.0319767441614841,-0.0904761904757788,-0.00263852244225,-0.0110132158677124,0.128706926951082,0.183183183178009,-0.100234603810378
-0.0268456375795561,-0.0978593194447919,-0.0689109521765291,0.0771388499344011,-0.109177020298857,-0.0235415565310125,-0.131868131854792,-0.109442060070607,-0.0236145788339414,-0.152368721865832,0.320767195783785,0.0662353443846402,-0.16037735849628,-0.245214385995797,-0.1784107946040199
0.248275862092868,0.250000000001844,0.13763440860313,-0.1015624999935909,0.102631578960888,-0.0746791131865603,-0.07940161101998,0.0406746918547853,0.0606936416119783,0.0031249999904317,-0.0495743615230845,0.0638297872360564,0.238764044949038,0.0743243243230029,0.0383211679087103
0.0718232044172205,0.005063291117034,0.0907372400595587,0.0049824955242112,0.0302625298232977,0.203026481705863,0.240000000002185,0.196721311469153,0.435967302434503,0.024922118384076,0.34141201265639,-0.0420000000116143,0.0606701940146999,0.150943396226229,-0.0166739817767514
-0.242268041245753,-0.182464085020356,-0.215697159300502,0.0390173410358436,-0.1378504672955089,0.123135757788554,0.107862903225677,0.244618395320736,0.0030983092688812,-0.0608083658868495,0.118617439108532,0.0547455964831501,0.195698924727235,0.131658261847892,-0.0305206463060127
0.306122448984891,0.148606811135859,-0.117256637148013,-0.0389429763590344,0.1544715447284129,-0.0233644859840417,-0.250227479508249,0.0048173420651354,0.0094696969319074,0.118032786894731,-0.184691011234313,-0.0766129032376117,0.158273381327851,-0.125874125875933,0.22592592590321
-0.166666666663928,-0.0485175201894534,-0.195488721818663,0.0281936317392342,0.0210918442176888,0.0105263157744058,-0.333737864073193,0.0299684542582852,0.1594746716917729,-0.099706744860042,-0.1136950904406099,0.0851528384395595,-0.045402799670706,-0.119111111128708,-0.0606873614919708
0.0999999999988475,0.128312672108787,0.011351947028075,0.0380818053772773,0.15777262182984,-0.0392084396716538,-0.0382513661244139,0.179173047468793,0.093351456282925,0.383705160515547,0.298347910588659,0.0975775919705157,0.138888888850839,0.342136370192393,0.140549273050303
-0.0056818181901303,0.0121212121190526,0.126419753095106,-0.018478260857853,0.100440881805415,-0.0545310957645354,0.496212121197101,-0.0651089752622587,-0.182222222234391,-0.0315990453652808,-0.119401197584597,-0.0074626865562498,-0.107489239575997,-0.0102079395075159,-0.0073654390938449
0.137142857123439,-0.0479041916104138,-0.334940815428734,-0.0008967157409773,0.0139860139915038,-0.0143668559786744,-0.223734177223319,-0.0165585142157441,-0.0043478260913935,0.0630914826485629,-0.104311165507256,-0.036992481197956,0.0300464446044431,0.0840636759796197,-0.0134491991310848
-0.105527638179035,-0.0534370280044476,-0.0575130977844952,-0.0900000000025062,-0.0469636233439176,-0.076699754627925,-0.0558499796386317,-0.0696245733886105,0.177861788107092,-0.0288656076688165,-0.294716064381357,0.0580853002715016,0.0521826392380009,-0.184070796470237,-0.076923076878317
0.288988764039136,0.0405345211486925,0.0904628330843606,0.0573870573704089,0.100151745085814,-0.0023905847784242,0.3949568221120029,0.0644206097323863,0.1576342489180379,0.0420686993568531,0.123789020456087,0.0015037594166467,-0.0045302813557303,-0.115835141009689,0.1737160120737459
-0.0362622036283555,-0.0196917808217011,-0.054662379406726,-0.0070269028268638,0.0546206896713854,-0.0094009216485392,0.19889064977406,-0.0259139287231903,-0.136383069704298,0.058148148144222,-0.0482758620528344,0.0330330330372268,0.0828904829625579,0.053974484776755,0.0402335633485171
-0.0955137481953726,0.0176078521460201,0.129558919628611,-0.0662159011659329,0.1021052631427929,-0.0734885432550613,0.131692002646086,-0.06413301663865,0.0562360896576133,0.113398061211994,-0.444243156190485,0.0848628135077967,-0.0228787205542792,0.0356001266909715,-0.121506934378181
0.0159999999772718,-0.104013810959908,0.12862318841709,0.0292134831595787,0.0408309455574407,0.0251509054587946,-0.0864359760476693,-0.0683299178411548,-0.0262725780057516,0.0450793650929164,0.0684534589074544,0.0204359672875447,-0.2052739258977809,0.0687471732163409,0.0532516493957763
0.0511811023529817,0.0183044315971066,-0.0690208667822001,-0.0681159832271265,-0.0334247148713965,0.0158979391481413,-0.1013265143168949,-0.109890109875845,-0.0881715249350605,-0.0656136087406482,0.123050847437344,0.0106809078971926,-0.0240782374700048,-0.0122725349075087,-0.0117339356075739
-0.259176029956544,-0.1059602648835599,-0.103448275877327,0.0467240929516766,-0.127476724736071,-0.0911901082024889,-0.186377378611215,0.0222222222286359,-0.189088043744297,0.0452038442651628,0.0796860851214884,-0.003339092960879,0.100795755953715,-0.540274207376626,-0.220454545455095
0.0515672396285718,0.0550264550178226,0.049358974358233,0.0448877805337531,0.0484268126090632,0.0982142856866719,0.147103825136772,0.0492258539173549,0.0603588907051663,0.0200878845049886,-0.0078277886323437,-0.0619946091618229,-0.159839357448242,0.0251630941218177,0.0466472303047316
-0.0115384615105755,0.11685055164583,0.0164935858430726,0.0363344602768245,0.0968524603911106,0.073557878433492,0.2970655487981,-0.0011614401834247,0.207692307684022,0.0369230769239977,0.0298675683429208,0.0410919540247114,0.0973740700008518,0.40999999998709,0.148527290062485
0.129377431910817,0.0836906482891757,-0.0952218590133825,-0.0798891710983922,0.11438143096032,0.0640793405727793,-0.0171881886381962,0.0372093023570519,0.139104190187617,0.0978986582228536,0.0601915184841514,0.0296730352011607,-0.0157710280263812,0.0529845091558595,0.1183922046042959
0.179155900066538,-0.0229166666890823,-0.113848202394279,0.0456712672442203,-0.04874382648649,-0.0831918506066629,-0.117787742897976,-0.0243783735731075,0.0555182449133686,-0.0321525885629746,-0.107096774211207,-0.0501362397774719,-0.0427299703209407,0.114814814803807,0.0681768677710108
-0.0073046019119287,0.0110874200684311,-0.0232907588131522,-0.0139287559663165,0.143792325063113,-0.0238888888968276,-0.118095560831464,0.0573913043405727,0.101590668088691,0.0284346846785771,-0.0968208092448439,0.0327022375183186,0.0920663355048741,0.023255813961051,0.019747043644404
0.207505518778354,0.168256193033664,0.0954108384092691,-0.0297851562497197,-0.0828871703461892,0.107758298724425,0.0881844380584416,0.143092105264413,-0.0780359111925603,0.0143958214200566,-0.104959999983955,0.104269558857209,0.0785265562889487,0.2277919501389639,0.001605780817371
0.0633759902719921,0.0758345428261433,0.084507042261464,-0.085304479098109,0.0049729729450143,-0.127509867870859,-0.0624999999904885,0.0562167636376483,0.111807732501209,-0.061463149311432,-0.0364676439011919,0.0173824130882048,0.0521577971930807,0.0461197339325774,0.0010020040185718
0.0212034383972126,0.0752107925693781,0.0383116883209547,-0.0447519483222187,-0.0786459343725753,0.0212431156703397,0.0397363465149865,-0.0498627630401131,0.0193609022498231,0.0591133004844566,-0.0107606678935274,-0.035175879401056,-0.0264148660349045,-0.0457821110589762,-0.0154183535278572
-0.0757575757770027,-0.0315084628679112,-0.0958828839346949,0.011560693661415,-0.0368717707858222,-0.159236939428624,0.1161021554087479,0.0568127106101377,0.0607268678619826,-0.0382855448313149,0.0015003750976914,-0.0192779111797914,-0.0389812889647363,-0.12871316448094,-0.0246938775313033
0.033394049799472,-0.0386991869818018,-0.1955617198357949,-0.0757142857222044,-0.119970738829818,-0.143742824327783,-0.073515092508864,-0.149897530296817,-0.166318719569689,-0.119300258104061,-0.149438202265926,-0.0008101539456435,0.0278528934471686,0.016410256403519,-0.157564344010724
-0.289659224440554,0.0429634641191178,0.0344827586233876,0.0265818077727232,-0.0264351910174874,0.0128720836482257,-0.0087581012426354,0.0454054053835173,-0.0037562604239939,0.0827092152305864,0.0999559665391432,-0.0310810810946442,-0.0152352897335419,-0.106962663981385,0.0118616169270535
0.0827129859535784,-0.1758060847084049,-0.148914572153958,-0.122732769033818,-0.0633600917400358,-0.0766603877147591,-0.0667962537455001,-0.0227507755753283,-0.1062160639186449,-0.0701659385466579,-0.0292233787063662,-0.057812294368182,-0.0448683503586461,-0.0928009243855448,-0.0579388560049685
-0.0045836516322335,0.111901937528973,-0.0992141453803446,0.094762232947678,-0.0091827364629487,0.2231809030378709,0.1975004733811319,0.0104049800758518,0.0771756978539211,-0.0359007833001063,0.0383505154734478,-0.0546003016783085,0.118987341793752,0.153266331667784,0.141847683869959
0.0897927858618946,0.107752489345587,0.24100327153298,-0.0032806724249561,0.118779302544763,0.0221020456218857,0.0902909550754318,-9.74643e-12,0.0222125435697065,0.076167907920536,0.064336775222688,0.0845564773599332,-0.0134838562603685,0.1808278866986989,0.0744736155566605
-0.152816901411912,-0.0824434216061523,-0.236704183464923,-0.0307545973274977,-0.0378408458595336,-0.0944669581901588,-0.0163886874449111,0.0137275607347561,0.0206376176517035,-0.0219146482122808,-0.187313432843864,-0.0108594020409345,-0.052267486553035,-0.224428802510746,-0.0119940030122777
